Vars,Priviliged,Comma
" ""Is.Vendor...1862.Land.Grant.College""                                                          ",,
" ""Is.Vendor...1890.Land.Grant.College""                                                          ",,
" ""Is.Vendor...1994.Land.Grant.College""                                                          ",,
" ""Is.Vendor...Airport.Authority""                                                                ",,
 Is.Vendor...Alaskan.Native.Corporation.Owned.Firm                                            ,Yes,"Is.Vendor...Alaskan.Native.Corporation.Owned.Firm,"
" ""Is.Vendor...Alaskan.Native.Servicing.Institution""                                             ",,
 Is.Vendor...American.Indian.Owned                                                            ,Yes,"Is.Vendor...American.Indian.Owned,"
" ""Is.Vendor...Asian.Pacific.American.Owned""                                                     ",,
 Is.Vendor...Black.American.Owned                                                             ,Yes,"Is.Vendor...Black.American.Owned,"
" ""Is.Vendor...Both..Contracts.and.Grants.""                                                      ",,
" ""Is.Vendor...City""                                                                             ",,
" ""Is.Vendor...Community.Developed.Corporation.Owned.Firm""                                       ",,
" ""Is.Vendor...Community.Development.Corporation""                                                ",,
" ""Is.Vendor...Contracts""                                                                        ",,
" ""Is.Vendor...Corporate.Entity..Not.Tax.Exempt""                                                 ",,
" ""Is.Vendor...Corporate.Entity..Tax.Exempt""                                                     ",,
" ""Is.Vendor...Council.Of.Governments""                                                           ",,
" ""Is.Vendor...Country.Of.Incorporation""                                                         ",,
" ""Is.Vendor...County""                                                                           ",,
 Is.Vendor...Domestic.Shelter                                                                 ,Yes,"Is.Vendor...Domestic.Shelter,"
 Is.Vendor...DoT.Certified.Disadvantaged.Business.Enterprise                                  ,Yes,"Is.Vendor...DoT.Certified.Disadvantaged.Business.Enterprise,"
" ""Is.Vendor...Educational.Institution""                                                          ",,
 Is.Vendor...Emerging.Small.Business                                                          ,Yes,"Is.Vendor...Emerging.Small.Business,"
" ""Is.Vendor...Federal.Agency""                                                                   ",,
" ""Is.Vendor...Federally.Funded.Research.and.Development.Corporation""                            ",,
" ""Is.Vendor...For.Profit.Organization""                                                          ",,
" ""Is.Vendor...Foreign.Government""                                                               ",,
" ""Is.Vendor...Foreign.Owned.And.Located""                                                        ",,
" ""Is.Vendor...Foundation""                                                                       ",,
" ""Is.Vendor...Grants""                                                                           ",,
 Is.Vendor...Hispanic.American.Owned                                                          ,Yes,"Is.Vendor...Hispanic.American.Owned,"
" ""Is.Vendor...Hispanic.Servicing.Institution""                                                   ",,
" ""Is.Vendor...Hospital""                                                                         ",,
" ""Is.Vendor...Housing.Authorities.Public.or.Tribal""                                             ",,
 Is.Vendor...Indian.Tribe                                                                     ,Yes,"Is.Vendor...Indian.Tribe,"
" ""Is.Vendor...Inter.Municipal""                                                                  ",,
" ""Is.Vendor...International.Organization""                                                       ",,
" ""Is.Vendor...Interstate.Entity""                                                                ",,
" ""Is.Vendor...Labor.Surplus.Area.Firm""                                                          ",,
" ""Is.Vendor...Limited.Liability.Corporation""                                                    ",,
" ""Is.Vendor...Local.Government.Owned""                                                           ",,
" ""Is.Vendor...Manufacturer.Of.Goods""                                                            ",,
" ""Is.Vendor...Minority.Institutions""                                                            ",,
 Is.Vendor...Minority.Owned.Business                                                          ,Yes,"Is.Vendor...Minority.Owned.Business,"
" ""Is.Vendor...Municipality""                                                                     ",,
 Is.Vendor...Native.American.Owned                                                            ,Yes,"Is.Vendor...Native.American.Owned,"
 Is.Vendor...Native.Hawaiian.Organization.Owned.Firm                                          ,Yes,"Is.Vendor...Native.Hawaiian.Organization.Owned.Firm,"
" ""Is.Vendor...Native.Hawaiian.Servicing.Institution""                                            ",,
" ""Is.Vendor...Non.Profit.Organization""                                                          ",,
 Is.Vendor...Other.Minority.Owned                                                             ,Yes,"Is.Vendor...Other.Minority.Owned,"
" ""Is.Vendor...Other.Not.For.Profit.Organization""                                                ",,
" ""Is.Vendor...Partnership.or.Limited.Liability.Partnership""                                     ",,
" ""Is.Vendor...Planning.Commission""                                                              ",,
" ""Is.Vendor...Port.Authority""                                                                   ",,
" ""Is.Vendor...Private.University.Or.College""                                                    ",,
 Is.Vendor...SBA.Certified.8..a..Joint.Venture                                                ,Yes,"Is.Vendor...SBA.Certified.8..a..Joint.Venture,"
 Is.Vendor...SBA.Certified.8.a..Program.Participant                                           ,Yes,"Is.Vendor...SBA.Certified.8.a..Program.Participant,"
 Is.Vendor...SBA.Certified.Hub.Zone.firm                                                      ,Yes,"Is.Vendor...SBA.Certified.Hub.Zone.firm,"
 Is.Vendor...SBA.Certified.Small.Disadvantaged.Business                                       ,Yes,"Is.Vendor...SBA.Certified.Small.Disadvantaged.Business,"
" ""Is.Vendor...School.District""                                                                  ",,
" ""Is.Vendor...School.Of.Forestry""                                                               ",,
 Is.Vendor...Self.Certifed.Small.Disadvantaged.Business                                       ,Yes,"Is.Vendor...Self.Certifed.Small.Disadvantaged.Business,"
 Is.Vendor...Service.Disabled.Veteran.Owned.Business                                          ,Yes,"Is.Vendor...Service.Disabled.Veteran.Owned.Business,"
" ""Is.Vendor...Small.Agricultural.Cooperative""                                                   ",,
" ""Is.Vendor...Sole.Proprietorship""                                                              ",,
" ""Is.Vendor...State.Controlled.Institution.of.Higher.Learning""                                  ",,
" ""Is.Vendor...State.Of.Incorporation""                                                           ",,
" ""Is.Vendor...Subchapter.S.Corporation""                                                         ",,
 Is.Vendor...Subcontinent.Asian..Asian.Indian..American.Owned                                 ,Yes,"Is.Vendor...Subcontinent.Asian..Asian.Indian..American.Owned,"
" ""Is.Vendor...The.AbilityOne.Program""                                                           ",,
" ""Is.Vendor...Township""                                                                         ",,
" ""Is.Vendor...Transit.Authority""                                                                ",,
" ""Is.Vendor...Tribal.College""                                                                   ",,
 Is.Vendor...Tribally.Owned                                                                   ,Yes,"Is.Vendor...Tribally.Owned,"
