id,codeNaics,titleNaics2,titleNaics3,titleNaics4,titleNaics5,titleNaics6
1,11,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting"
2,111,Crop Production,Crop Production,Crop Production,Crop Production,Crop Production
3,1111,Oilseed and Grain Farming,Oilseed and Grain Farming,Oilseed and Grain Farming,Oilseed and Grain Farming,Oilseed and Grain Farming
4,11111,Soybean Farming,Soybean Farming,Soybean Farming,Soybean Farming,Soybean Farming
5,111110,Soybean Farming,Soybean Farming,Soybean Farming,Soybean Farming,Soybean Farming
6,11112,Oilseed (except Soybean) Farming,Oilseed (except Soybean) Farming,Oilseed (except Soybean) Farming,Oilseed (except Soybean) Farming,Oilseed (except Soybean) Farming
7,111120,Oilseed (except Soybean) Farming ,Oilseed (except Soybean) Farming ,Oilseed (except Soybean) Farming ,Oilseed (except Soybean) Farming ,Oilseed (except Soybean) Farming 
8,11113,Dry Pea and Bean Farming,Dry Pea and Bean Farming,Dry Pea and Bean Farming,Dry Pea and Bean Farming,Dry Pea and Bean Farming
9,111130,Dry Pea and Bean Farming ,Dry Pea and Bean Farming ,Dry Pea and Bean Farming ,Dry Pea and Bean Farming ,Dry Pea and Bean Farming 
10,11114,Wheat Farming,Wheat Farming,Wheat Farming,Wheat Farming,Wheat Farming
11,111140,Wheat Farming,Wheat Farming,Wheat Farming,Wheat Farming,Wheat Farming
12,11115,Corn Farming,Corn Farming,Corn Farming,Corn Farming,Corn Farming
13,111150,Corn Farming ,Corn Farming ,Corn Farming ,Corn Farming ,Corn Farming 
14,11116,Rice Farming,Rice Farming,Rice Farming,Rice Farming,Rice Farming
15,111160,Rice Farming,Rice Farming,Rice Farming,Rice Farming,Rice Farming
16,11119,Other Grain Farming,Other Grain Farming,Other Grain Farming,Other Grain Farming,Other Grain Farming
17,111191,Oilseed and Grain Combination Farming ,Oilseed and Grain Combination Farming ,Oilseed and Grain Combination Farming ,Oilseed and Grain Combination Farming ,Oilseed and Grain Combination Farming 
18,111199,All Other Grain Farming ,All Other Grain Farming ,All Other Grain Farming ,All Other Grain Farming ,All Other Grain Farming 
19,1112,Vegetable and Melon Farming,Vegetable and Melon Farming,Vegetable and Melon Farming,Vegetable and Melon Farming,Vegetable and Melon Farming
20,11121,Vegetable and Melon Farming,Vegetable and Melon Farming,Vegetable and Melon Farming,Vegetable and Melon Farming,Vegetable and Melon Farming
21,111211,Potato Farming ,Potato Farming ,Potato Farming ,Potato Farming ,Potato Farming 
22,111219,Other Vegetable (except Potato) and Melon Farming ,Other Vegetable (except Potato) and Melon Farming ,Other Vegetable (except Potato) and Melon Farming ,Other Vegetable (except Potato) and Melon Farming ,Other Vegetable (except Potato) and Melon Farming 
23,1113,Fruit and Tree Nut Farming,Fruit and Tree Nut Farming,Fruit and Tree Nut Farming,Fruit and Tree Nut Farming,Fruit and Tree Nut Farming
24,11131,Orange Groves,Orange Groves,Orange Groves,Orange Groves,Orange Groves
25,111310,Orange Groves,Orange Groves,Orange Groves,Orange Groves,Orange Groves
26,11132,Citrus (except Orange) Groves,Citrus (except Orange) Groves,Citrus (except Orange) Groves,Citrus (except Orange) Groves,Citrus (except Orange) Groves
27,111320,Citrus (except Orange) Groves ,Citrus (except Orange) Groves ,Citrus (except Orange) Groves ,Citrus (except Orange) Groves ,Citrus (except Orange) Groves 
28,11133,Noncitrus Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming
29,111331,Apple Orchards ,Apple Orchards ,Apple Orchards ,Apple Orchards ,Apple Orchards 
30,111332,Grape Vineyards ,Grape Vineyards ,Grape Vineyards ,Grape Vineyards ,Grape Vineyards 
31,111333,Strawberry Farming ,Strawberry Farming ,Strawberry Farming ,Strawberry Farming ,Strawberry Farming 
32,111334,Berry (except Strawberry) Farming ,Berry (except Strawberry) Farming ,Berry (except Strawberry) Farming ,Berry (except Strawberry) Farming ,Berry (except Strawberry) Farming 
33,111335,Tree Nut Farming ,Tree Nut Farming ,Tree Nut Farming ,Tree Nut Farming ,Tree Nut Farming 
34,111336,Fruit and Tree Nut Combination Farming ,Fruit and Tree Nut Combination Farming ,Fruit and Tree Nut Combination Farming ,Fruit and Tree Nut Combination Farming ,Fruit and Tree Nut Combination Farming 
35,111339,Other Noncitrus Fruit Farming ,Other Noncitrus Fruit Farming ,Other Noncitrus Fruit Farming ,Other Noncitrus Fruit Farming ,Other Noncitrus Fruit Farming 
36,1114,"Greenhouse, Nursery, and Floriculture Production","Greenhouse, Nursery, and Floriculture Production","Greenhouse, Nursery, and Floriculture Production","Greenhouse, Nursery, and Floriculture Production","Greenhouse, Nursery, and Floriculture Production"
37,11141,Food Crops Grown Under Cover,Food Crops Grown Under Cover,Food Crops Grown Under Cover,Food Crops Grown Under Cover,Food Crops Grown Under Cover
38,111411,Mushroom Production ,Mushroom Production ,Mushroom Production ,Mushroom Production ,Mushroom Production 
39,111419,Other Food Crops Grown Under Cover ,Other Food Crops Grown Under Cover ,Other Food Crops Grown Under Cover ,Other Food Crops Grown Under Cover ,Other Food Crops Grown Under Cover 
40,11142,Nursery and Floriculture Production,Nursery and Floriculture Production,Nursery and Floriculture Production,Nursery and Floriculture Production,Nursery and Floriculture Production
41,111421,Nursery and Tree Production ,Nursery and Tree Production ,Nursery and Tree Production ,Nursery and Tree Production ,Nursery and Tree Production 
42,111422,Floriculture Production ,Floriculture Production ,Floriculture Production ,Floriculture Production ,Floriculture Production 
43,1119,Other Crop Farming,Other Crop Farming,Other Crop Farming,Other Crop Farming,Other Crop Farming
44,11191,Tobacco Farming,Tobacco Farming,Tobacco Farming,Tobacco Farming,Tobacco Farming
45,111910,Tobacco Farming,Tobacco Farming,Tobacco Farming,Tobacco Farming,Tobacco Farming
46,11192,Cotton Farming,Cotton Farming,Cotton Farming,Cotton Farming,Cotton Farming
47,111920,Cotton Farming,Cotton Farming,Cotton Farming,Cotton Farming,Cotton Farming
48,11193,Sugarcane Farming,Sugarcane Farming,Sugarcane Farming,Sugarcane Farming,Sugarcane Farming
49,111930,Sugarcane Farming,Sugarcane Farming,Sugarcane Farming,Sugarcane Farming,Sugarcane Farming
50,11194,Hay Farming,Hay Farming,Hay Farming,Hay Farming,Hay Farming
51,111940,Hay Farming ,Hay Farming ,Hay Farming ,Hay Farming ,Hay Farming 
52,11199,All Other Crop Farming,All Other Crop Farming,All Other Crop Farming,All Other Crop Farming,All Other Crop Farming
53,111991,Sugar Beet Farming ,Sugar Beet Farming ,Sugar Beet Farming ,Sugar Beet Farming ,Sugar Beet Farming 
54,111992,Peanut Farming ,Peanut Farming ,Peanut Farming ,Peanut Farming ,Peanut Farming 
55,111998,All Other Miscellaneous Crop Farming ,All Other Miscellaneous Crop Farming ,All Other Miscellaneous Crop Farming ,All Other Miscellaneous Crop Farming ,All Other Miscellaneous Crop Farming 
56,112,Animal Production and Aquaculture,Animal Production and Aquaculture,Animal Production and Aquaculture,Animal Production and Aquaculture,Animal Production and Aquaculture
57,1121,Cattle Ranching and Farming,Cattle Ranching and Farming,Cattle Ranching and Farming,Cattle Ranching and Farming,Cattle Ranching and Farming
58,11211,"Beef Cattle Ranching and Farming, including Feedlots","Beef Cattle Ranching and Farming, including Feedlots","Beef Cattle Ranching and Farming, including Feedlots","Beef Cattle Ranching and Farming, including Feedlots","Beef Cattle Ranching and Farming, including Feedlots"
59,112111,Beef Cattle Ranching and Farming ,Beef Cattle Ranching and Farming ,Beef Cattle Ranching and Farming ,Beef Cattle Ranching and Farming ,Beef Cattle Ranching and Farming 
60,112112,Cattle Feedlots ,Cattle Feedlots ,Cattle Feedlots ,Cattle Feedlots ,Cattle Feedlots 
61,11212,Dairy Cattle and Milk Production,Dairy Cattle and Milk Production,Dairy Cattle and Milk Production,Dairy Cattle and Milk Production,Dairy Cattle and Milk Production
62,112120,Dairy Cattle and Milk Production,Dairy Cattle and Milk Production,Dairy Cattle and Milk Production,Dairy Cattle and Milk Production,Dairy Cattle and Milk Production
63,11213,Dual-Purpose Cattle Ranching and Farming,Dual-Purpose Cattle Ranching and Farming,Dual-Purpose Cattle Ranching and Farming,Dual-Purpose Cattle Ranching and Farming,Dual-Purpose Cattle Ranching and Farming
64,112130,Dual-Purpose Cattle Ranching and Farming ,Dual-Purpose Cattle Ranching and Farming ,Dual-Purpose Cattle Ranching and Farming ,Dual-Purpose Cattle Ranching and Farming ,Dual-Purpose Cattle Ranching and Farming 
65,1122,Hog and Pig Farming,Hog and Pig Farming,Hog and Pig Farming,Hog and Pig Farming,Hog and Pig Farming
66,11221,Hog and Pig Farming,Hog and Pig Farming,Hog and Pig Farming,Hog and Pig Farming,Hog and Pig Farming
67,112210,Hog and Pig Farming ,Hog and Pig Farming ,Hog and Pig Farming ,Hog and Pig Farming ,Hog and Pig Farming 
68,1123,Poultry and Egg Production,Poultry and Egg Production,Poultry and Egg Production,Poultry and Egg Production,Poultry and Egg Production
69,11231,Chicken Egg Production,Chicken Egg Production,Chicken Egg Production,Chicken Egg Production,Chicken Egg Production
70,112310,Chicken Egg Production ,Chicken Egg Production ,Chicken Egg Production ,Chicken Egg Production ,Chicken Egg Production 
71,11232,Broilers and Other Meat Type Chicken Production,Broilers and Other Meat Type Chicken Production,Broilers and Other Meat Type Chicken Production,Broilers and Other Meat Type Chicken Production,Broilers and Other Meat Type Chicken Production
72,112320,Broilers and Other Meat Type Chicken Production ,Broilers and Other Meat Type Chicken Production ,Broilers and Other Meat Type Chicken Production ,Broilers and Other Meat Type Chicken Production ,Broilers and Other Meat Type Chicken Production 
73,11233,Turkey Production,Turkey Production,Turkey Production,Turkey Production,Turkey Production
74,112330,Turkey Production,Turkey Production,Turkey Production,Turkey Production,Turkey Production
75,11234,Poultry Hatcheries,Poultry Hatcheries,Poultry Hatcheries,Poultry Hatcheries,Poultry Hatcheries
76,112340,Poultry Hatcheries,Poultry Hatcheries,Poultry Hatcheries,Poultry Hatcheries,Poultry Hatcheries
77,11239,Other Poultry Production,Other Poultry Production,Other Poultry Production,Other Poultry Production,Other Poultry Production
78,112390,Other Poultry Production ,Other Poultry Production ,Other Poultry Production ,Other Poultry Production ,Other Poultry Production 
79,1124,Sheep and Goat Farming,Sheep and Goat Farming,Sheep and Goat Farming,Sheep and Goat Farming,Sheep and Goat Farming
80,11241,Sheep Farming,Sheep Farming,Sheep Farming,Sheep Farming,Sheep Farming
81,112410,Sheep Farming,Sheep Farming,Sheep Farming,Sheep Farming,Sheep Farming
82,11242,Goat Farming,Goat Farming,Goat Farming,Goat Farming,Goat Farming
83,112420,Goat Farming,Goat Farming,Goat Farming,Goat Farming,Goat Farming
84,1125,Aquaculture,Aquaculture,Aquaculture,Aquaculture,Aquaculture
85,11251,Aquaculture,Aquaculture,Aquaculture,Aquaculture,Aquaculture
86,112511,Finfish Farming and Fish Hatcheries ,Finfish Farming and Fish Hatcheries ,Finfish Farming and Fish Hatcheries ,Finfish Farming and Fish Hatcheries ,Finfish Farming and Fish Hatcheries 
87,112512,Shellfish Farming ,Shellfish Farming ,Shellfish Farming ,Shellfish Farming ,Shellfish Farming 
88,112519,Other Aquaculture ,Other Aquaculture ,Other Aquaculture ,Other Aquaculture ,Other Aquaculture 
89,1129,Other Animal Production,Other Animal Production,Other Animal Production,Other Animal Production,Other Animal Production
90,11291,Apiculture,Apiculture,Apiculture,Apiculture,Apiculture
91,112910,Apiculture,Apiculture,Apiculture,Apiculture,Apiculture
92,11292,Horses and Other Equine Production,Horses and Other Equine Production,Horses and Other Equine Production,Horses and Other Equine Production,Horses and Other Equine Production
93,112920,Horses and Other Equine Production,Horses and Other Equine Production,Horses and Other Equine Production,Horses and Other Equine Production,Horses and Other Equine Production
94,11293,Fur-Bearing Animal and Rabbit Production,Fur-Bearing Animal and Rabbit Production,Fur-Bearing Animal and Rabbit Production,Fur-Bearing Animal and Rabbit Production,Fur-Bearing Animal and Rabbit Production
95,112930,Fur-Bearing Animal and Rabbit Production,Fur-Bearing Animal and Rabbit Production,Fur-Bearing Animal and Rabbit Production,Fur-Bearing Animal and Rabbit Production,Fur-Bearing Animal and Rabbit Production
96,11299,All Other Animal Production,All Other Animal Production,All Other Animal Production,All Other Animal Production,All Other Animal Production
97,112990,All Other Animal Production ,All Other Animal Production ,All Other Animal Production ,All Other Animal Production ,All Other Animal Production 
98,113,Forestry and Logging,Forestry and Logging,Forestry and Logging,Forestry and Logging,Forestry and Logging
99,1131,Timber Tract Operations,Timber Tract Operations,Timber Tract Operations,Timber Tract Operations,Timber Tract Operations
100,11311,Timber Tract Operations,Timber Tract Operations,Timber Tract Operations,Timber Tract Operations,Timber Tract Operations
101,113110,Timber Tract Operations,Timber Tract Operations,Timber Tract Operations,Timber Tract Operations,Timber Tract Operations
102,1132,Forest Nurseries and Gathering of Forest Products,Forest Nurseries and Gathering of Forest Products,Forest Nurseries and Gathering of Forest Products,Forest Nurseries and Gathering of Forest Products,Forest Nurseries and Gathering of Forest Products
103,11321,Forest Nurseries and Gathering of Forest Products,Forest Nurseries and Gathering of Forest Products,Forest Nurseries and Gathering of Forest Products,Forest Nurseries and Gathering of Forest Products,Forest Nurseries and Gathering of Forest Products
104,113210,Forest Nurseries and Gathering of Forest Products ,Forest Nurseries and Gathering of Forest Products ,Forest Nurseries and Gathering of Forest Products ,Forest Nurseries and Gathering of Forest Products ,Forest Nurseries and Gathering of Forest Products 
105,1133,Logging,Logging,Logging,Logging,Logging
106,11331,Logging,Logging,Logging,Logging,Logging
107,113310,Logging ,Logging ,Logging ,Logging ,Logging 
108,114,"Fishing, Hunting and Trapping","Fishing, Hunting and Trapping","Fishing, Hunting and Trapping","Fishing, Hunting and Trapping","Fishing, Hunting and Trapping"
109,1141,Fishing,Fishing,Fishing,Fishing,Fishing
110,11411,Fishing,Fishing,Fishing,Fishing,Fishing
